NodeID,Category
459381,Water and other public services
466907,Electricity
473173,Household furnishings
503218,Natural gas
503701,Miscellaneous
510031,Gifts
520660,Healthcare
523927,Restaurants
527449,Alcohol
536346,Home maintenance
537281,Housekeeping supplies
552988,Money income before taxes
567195,Personal insurance and pensions
571970,Reading
575030,Transportation
577992,Education
580426,Telephone services
589943,Lodging away from home
595298,Groceries
595581,Donations
606730,Entertainment
616315,Apparel and services
620120,Personal taxes
621924,Mortgage payments
630626,Rented dwellings
632961,Personal care products and services
640784,Tobacco
642329,Household operations
644226,Property taxes
